2026-07-12 19:22:53,763 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 19:22:53,770 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 19:22:53,774 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 19:22:53,781 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 19:26:11,400 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 19:26:11,400 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 19:52:26,558 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 19:52:27,568 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 19:52:27,568 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 19:53:26,264 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 19:53:27,234 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 19:53:27,234 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 19:53:54,629 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 19:53:55,657 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 19:53:55,658 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 19:55:38,070 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 19:55:39,067 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 19:55:39,068 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 19:56:22,502 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 19:56:22,512 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 19:56:22,518 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 19:56:22,524 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:01:30,735 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:01:31,694 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:01:31,694 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:02:16,741 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:02:17,678 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:02:17,679 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:02:29,092 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 20:02:29,100 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:02:29,108 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 20:02:29,116 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:08:06,751 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:08:07,548 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:08:07,548 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:08:52,675 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
